0|"its a dry heat"
1|"LONG ISLAND USA"
2|"MIlwaukee Wi"
3|"Los Angeles,CA"
4|"Missouri The Show Me State"
5|"GOD BLESS AMERICA, FROM SOUTH, MS"
6|"Huntington Beach, Ca."
7|"Northern Ireland"
8|"Munich"
9|"Bryan, TX"
10|"New York"
11|"ga"
12|"Cleveland,OH"
13|"Bob.com, Virginia"
14|"Check out my other Auctions and Save BIG"
15|"NY"
16|"Portland, Oregon"
17|"NJ,USA"
18|"USA"
19|"East Coast!"
20|"San Francisco"
21|"ONLY TOWN, PA"
22|"SOUTH BEACH"
23|"Orlando, FL"
24|"North Carolina"
25|"VERY SEXY SKIRT"
26|"Cleveland, OH"
27|"AtomicPlanet.net"
28|"California"
29|"Makawao - Maui"
30|"Iowa"
31|"Atlanta, Ga"
32|"THE SHORES of LAKE ERIE ~~OH~~"
33|"ny"
34|"FLORIDA ~~~ 800-981-9064 ~~~8am - 10pm 7 days"
35|"Indianapolis, IN"
36|"FLORIDA"
37|"I SHIP WORLD WIDE & ACCEPT PAYPAL!!!!!!!!!!!!"
38|"Long Island, New York"
39|"Tucson, AZ"
40|"MICHIGAN"
41|"Madawaska"
42|"houston texas"
43|"MIDWEST"
44|"Turnersville, NJ"
45|"MN"
46|"Dallas, Tx"
47|"FL"
48|"Creal Springs, IL"
49|"Tx"
50|"near Seattle"
51|"Los Angeles, CA"
52|"Avon, MA 02322"
53|"BWI , Md."
54|"HAPPY HOLIDAYS......"
55|"Ship worldwide!"
56|"El Paso,TX"
57|"_"
58|"NC"
59|"Pennsylvania"
60|"CORVALLIS, OREGON"
61|"buffalo, n.y."
62|"Tennessee"
63|"Mount Vernon, VA"
64|"Oak Harbor, WA"
65|"cornerantiques.com"
66|"Los Angeles"
67|"X-ville"
68|"Scottsdale, Arizona, U.S.A."
69|"NW WI"
70|"MARION OHIO"
71|"ANIME PARADISE"
72|"ARCADE, NEW YORK"
73|"Newport County, RI"
74|"dutchess county"
75|"Calgary, AB"
76|"Santa Monica, CA"
77|"Idaho"
78|"Rochester N.Y."
79|"Save our wildlife in PA!"
80|"NEBRASKA-ALSO CHECK OUT MY OTHER AUCTIONS!!"
81|"Tulsa,Ok"
82|"Spring Mountain, Pa"
83|"BEST DRESSED KIDS"
84|"Greenville TX"
85|"Baltimore/D.C."
86|"Bushnell,Il."
87|"New Baltimore, MI"
88|"Royer"
89|"EASTERN WA"
90|"Northwest Suburbs"
91|"LI/NY"
92|"FRANKFORT, IN"
93|"Bullhead City, AZ"
94|"Rivercity, Nebr"
95|"EVANSVILLE IN"
96|"Omaha., Ne."
97|"La Jolla, CA"
98|"Southeast USA"
99|"Former Tupperware Lady cleans in Iowa !"
100|"R.C."
101|"Land of Enchantment"
102|"Spring, Texas"
103|"Lafayette CA"
104|"Tulsa, OK"
105|"Folsom, CA"
106|"DOUGLASVILLE GA US"
